Visitor,Plant,Family,Date,Elevation,Site,Data,Plant2,ElevationCorrect,MinEle,MaxEle,EleZone
Eristalis sp.,Cirsium vulgare,Diptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus mesomelas,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus hortorum,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Bombus hortorum,Cirsium vulgare,Hymenoptera,22/08/2005,1176,P166,Biesmeijer,Cirsium vulgare,1176,1176,1176,1000-1200
Macroglossa stellatarum,Cirsium vulgare,Lepidoptera,22/08/2005,1179,P165x,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
 ,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165x,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Lasioglossum ,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Lasioglossum ,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Apis ,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus sp.,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Megachile sp.,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Osmia/Hoplitis ,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus bohemicus,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus bohemicus,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus humilis,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus hortorum,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus soroeensis,Cirsium vulgare,Hymenoptera,22/08/2005,1179,P165,Biesmeijer,Cirsium vulgare,1179,1179,1179,1000-1200
Bombus humilis,Origanum vulgare,,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
Bombus pascuorum,Origanum vulgare,,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
Bombus soroeensis,Origanum vulgare,,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
Bombus quadricolor,Origanum vulgare,,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
Bombus pascuorum,Origanum vulgare,,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
NA NA,Origanum vulgare,Lepidoptera,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
 ,Origanum vulgare,,21/08/2006,1180,P305,Biesmeijer,Origanum vulgare,1180,1180,1180,1000-1200
Eristalis sp.,Rubus fruticosus,Diptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Apis ,Rubus fruticosus,Hymenoptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Eristalis sp.,Rubus fruticosus,Diptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Bombus sp.,Rubus fruticosus,Hymenoptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Bombus pascuorum,Rubus fruticosus,Hymenoptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Bombus pascuorum,Rubus fruticosus,Hymenoptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Bombus pascuorum,Rubus fruticosus,Hymenoptera,22/08/2005,1180,P163,Biesmeijer,Rubus fruticosus,1180,1180,1180,1000-1200
Bombus pascuorum,Picris hieracioides,,31/08/2006,1193,P455,Biesmeijer,Picris hieracioides,1193,1193,1193,1000-1200
Syrphid ,Picris hieracioides,,31/08/2006,1193,P455,Biesmeijer,Picris hieracioides,1193,1193,1193,1000-1200
Syrphid ,Picris hieracioides,,31/08/2006,1193,P456,Biesmeijer,Picris hieracioides,1193,1193,1193,1000-1200
 ,Picris hieracioides,,31/08/2006,1193,P455,Biesmeijer,Picris hieracioides,1193,1193,1193,1000-1200
 ,Picris hieracioides,,31/08/2006,1193,P456,Biesmeijer,Picris hieracioides,1193,1193,1193,1000-1200
 ,Picris hieracioides,,31/08/2006,1193,P456,Biesmeijer,Picris hieracioides,1193,1193,1193,1000-1200
Sphaerophorium scripta,Crepis mollis,Diptera,19/08/2005,1194,P141,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Eristalis jugorum,Crepis mollis,Diptera,19/08/2005,1194,P141,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Eristalis sp.,Crepis mollis,Diptera,19/08/2005,1194,P141,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Eristalis tenax,Crepis mollis,Diptera,19/08/2005,1194,P141,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Syritta pipiens,Crepis mollis,Diptera,19/08/2005,1194,P141,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Bombus lapidarius,Crepis mollis,Hymenoptera,19/08/2005,1194,P141,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Xanthandrus comtus,Crepis mollis,Diptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Eristalis arbustorum,Crepis mollis,Diptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Eristalis tenax,Crepis mollis,Diptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Episyrphus balteatus,Crepis mollis,Diptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Hylaeus ,Crepis mollis,Hymenoptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Bombus bohemicus,Crepis mollis,Hymenoptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Bombus soroeensis,Crepis mollis,Hymenoptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Bombus soroeensis,Crepis mollis,Hymenoptera,19/08/2005,1194,P142,Biesmeijer,Crepis sp.,1194,1194,1194,1000-1200
Xanthandrus comtus,Crepis mollis,Diptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Eristalis jugorum,Crepis mollis,Diptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Apis ,Crepis mollis,Hymenoptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Bombus sp.,Crepis mollis,Hymenoptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
eEpisyrphus balteatus,Crepis mollis,Diptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Eristalis tenax,Crepis mollis,Diptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Syritta pipiens,Crepis mollis,Diptera,19/08/2005,1198,P144,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Bombus quadricolor,Crepis mollis,Hymenoptera,19/08/2005,1198,P144x,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Bombus soroeensis,Crepis mollis,Hymenoptera,19/08/2005,1198,P144x,Biesmeijer,Crepis sp.,1198,1198,1198,1000-1200
Bombus pascuorum,Verbena officinalis,Hymenoptera,19/08/2005,1198,P143,Biesmeijer,Verbena officinalis,1198,1198,1198,1000-1200
Bombus lapidarius,Allium fallax,Hym.,7/08/1889,1200,Gedre,MacLeod,Allium lusitanicum,1200,1200,1200,1200-1400
Bombus sichelii,Carduus medius,Hym.,6/08/1889,1200,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Bombus terrestris complex,Carduus medius,Hym.,6/08/1889,1200,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Maniola jurtina,Carduus medius,Lep.,10/08/1889,1200,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Parnassius apollo,Carduus medius,Lep.,6/08/1889,1200,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Aglais urticae,Carduus medius,Lep.,6/08/1889,1200,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Argynnis aglaja,Centaurea nigra,Lep.,7/08/1889,1200,Gedre,MacLeod,Centaurea nigra,1200,1200,1200,1200-1400
Melanargia lachesis,Centaurea nigra,Lep.,7/08/1889,1200,Gedre,MacLeod,Centaurea nigra,1200,1200,1200,1200-1400
Parnassius apollo,Centaurea nigra,Lep.,7/08/1889,1200,Gedre,MacLeod,Centaurea nigra,1200,1200,1200,1200-1400
Bombus ruderarius,Centaurea scabiosa,Hym.,6/08/1889,1200,Gedre,MacLeod,Centaurea scabiosa,1200,1200,1200,1200-1400
Parnassius apollo,Centaurea scabiosa,Lep.,6/08/1889,1200,Grand chaos,MacLeod,Centaurea scabiosa,1200,1200,1200,1200-1400
Parnassius apollo,Centaurea scabiosa,Lep.,12/08/1889,1200,Grand chaos,MacLeod,Centaurea scabiosa,1200,1200,1200,1200-1400
Bombus hortorum,Cirsum eriophorum,Hym.,24/08/1889,1200,tussen Gedre en Gavarnie,MacLeod,Cirsium eriophorum,1200,1200,1200,1200-1400
Bombus mesomelas,Cirsum monspessulanum,Hym.,7/08/1889,1200,Gedre,MacLeod,Cirsium monspessulanum,1200,1200,1200,1200-1400
Aporia crataegi,Cirsum monspessulanum,Lep.,7/08/1889,1200,Gedre,MacLeod,Cirsium monspessulanum,1200,1200,1200,1200-1400
Argynnis aglaja,Cirsum monspessulanum,Lep.,7/08/1889,1200,Gedre,MacLeod,Cirsium monspessulanum,1200,1200,1200,1200-1400
Melanargia lachesis,Cirsum monspessulanum,Lep.,7/08/1889,1200,Gedre,MacLeod,Cirsium monspessulanum,1200,1200,1200,1200-1400
Parnassius apollo,Cirsum monspessulanum,Lep.,7/08/1889,1200,Gedre,MacLeod,Cirsium monspessulanum,1200,1200,1200,1200-1400
Zygaena sp.,Cirsum monspessulanum,Lep.,7/08/1889,1200,Gedre,MacLeod,Cirsium monspessulanum,1200,1200,1200,1200-1400
Melitaea diamina,Eupatorium cannabinum,Lep.,7/08/1889,1200,Gedre,MacLeod,Eupatorium cannabinum,1200,1200,1200,1200-1400
Aglais io,Eupatorium cannabinum,Lep.,7/08/1889,1200,Gedre,MacLeod,Eupatorium cannabinum,1200,1200,1200,1200-1400
Bombus terrestris complex,Hypericum perforatum,Hym.,28/08/1889,1200,Gedre,MacLeod,Hypericum perforatum,1200,1200,1200,1200-1400
Bombus terrestris complex,Mentha sylvestris,Hym.,10/08/1889,1200,Gedre,MacLeod,Mentha longifolia,1200,1200,1200,1200-1400
Melanargia lachesis,Mentha sylvestris,Lep.,7/08/1889,1200,Gedre,MacLeod,Mentha longifolia,1200,1200,1200,1200-1400
Zygaena sp.,Mentha sylvestris,Lep.,24/08/1889,1200,Gedre,MacLeod,Mentha longifolia,1200,1200,1200,1200-1400
Bombus pratorum,Origanum vulgare,Hym.,10/08/1889,1200,Gedre,MacLeod,Origanum vulgare,1200,1200,1200,1200-1400
Zygaena sp.,Origanum vulgare,Lep.,7/08/1889,1200,Gedre,MacLeod,Origanum vulgare,1200,1200,1200,1200-1400
Lycaena virgaureae,Parnassia palustris,Lep.,7/08/1889,1200,Gedre,MacLeod,Parnassia palustris,1200,1200,1200,1200-1400
Bombus humilis,Rubus fruticosus,Hym.,7/08/1889,1200,Gedre,MacLeod,Rubus fruticosus,1200,1200,1200,1200-1400
Argynnis aglaja,scabiosa columbaria,Lep.,7/08/1889,1200,Gedre,MacLeod,Scabiosa columbaria,1200,1200,1200,1200-1400
Hesperia comma,scabiosa columbaria,Lep.,12/08/1889,1200,Grand chaos,MacLeod,Scabiosa columbaria,1200,1200,1200,1200-1400
Melanargia lachesis,Carduus medius,Lep.,7/08/1891,1000-1202,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Melanargia lachesis,Carduus medius,Lep.,12/08/1891,1000-1202,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Zygaena sp.,Centaurea nigra,Lep.,5/08/1891,1000-1202,Gedre,MacLeod,Centaurea nigra,1200,1200,1200,1200-1400
Zygaena sp.,Centaurea nigra,Lep.,7/08/1891,1000-1202,Gedre,MacLeod,Centaurea nigra,1200,1200,1200,1200-1400
Bombus terrestris complex,Rubus fruticosus,Hym.,5/08/1891,1000-1202,Gedre,MacLeod,Rubus fruticosus,1200,1200,1200,1200-1400
Bombus terrestris complex,Rubus fruticosus,Hym.,8/08/1891,1000-1202,Gedre,MacLeod,Rubus fruticosus,1200,1200,1200,1200-1400
Bombus terrestris complex,Rubus fruticosus,Hym.,10/08/1891,1000-1202,Gedre,MacLeod,Rubus fruticosus,1200,1200,1200,1200-1400
Bombus terrestris complex,Rubus fruticosus,Hym.,29/08/1891,1000-1202,Gedre,MacLeod,Rubus fruticosus,1200,1200,1200,1200-1400
Pieris rapae,Verbena officinalis,Lep.,10/08/1891,1000-1202,Gedre,MacLeod,Verbena officinalis,1200,1200,1200,1200-1400
Pieris rapae,Verbena officinalis,Lep.,11/08/1891,1000-1202,Gedre,MacLeod,Verbena officinalis,1200,1200,1200,1200-1400
Pieris rapae,Verbena officinalis,Lep.,28/08/1891,1000-1202,Gedre,MacLeod,Verbena officinalis,1200,1200,1200,1200-1400
Bombus hortorum,Aconitum napellus,Hym.,8/08/1890,1100-1201,Gedre,MacLeod,Aconitum sp.,1200,1200,1200,1200-1400
Bombus humilis,Carduus medius,Hym.,6/08/1890,1100-1201,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Bombus humilis,Carduus medius,Hym.,8/08/1890,1100-1201,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Bombus quadricolor,Carduus medius,Hym.,7/08/1890,1100-1201,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Bombus quadricolor,Carduus medius,Hym.,8/08/1890,1100-1201,Gedre,MacLeod,Carduus defloratus,1200,1200,1200,1200-1400
Bombus hortorum,Aconitum napellus,Hym.,12/08/1890,1100-1202,Gedre,MacLeod,Aconitum sp.,1200,1200,1200,1200-1400
Bombus soroeensis,Origanum vulgare,Hymenoptera,19/08/2005,1226,P145,Biesmeijer,Origanum vulgare,1226,1226,1226,1200-1400
Bombus bohemicus,Origanum vulgare,Hymenoptera,19/08/2005,1226,P145x,Biesmeijer,Origanum vulgare,1226,1226,1226,1200-1400
Halictus ,Crepis mollis,Hymenoptera,16/08/2005,1244,P130,Biesmeijer,Crepis sp.,1244,1244,1244,1200-1400
Lasioglossum ,Crepis mollis,Hymenoptera,16/08/2005,1244,P130,Biesmeijer,Crepis sp.,1244,1244,1244,1200-1400
Lasioglossum ,Crepis mollis,Hymenoptera,16/08/2005,1244,P130,Biesmeijer,Crepis sp.,1244,1244,1244,1200-1400
Lasioglossum ,Crepis mollis,Hymenoptera,16/08/2005,1244,P130,Biesmeijer,Crepis sp.,1244,1244,1244,1200-1400
Panurgus ,Crepis mollis,Hymenoptera,16/08/2005,1244,P130,Biesmeijer,Crepis sp.,1244,1244,1244,1200-1400
 ,Hypericum perforatum,Hymenoptera,16/08/2005,1244,P129,Biesmeijer,Hypericum perforatum,1244,1244,1244,1200-1400
Bombus terrestris complex,Hypericum perforatum,Hymenoptera,16/08/2005,1244,P128,Biesmeijer,Hypericum perforatum,1244,1244,1244,1200-1400
Bombus soroeensis,Hypericum perforatum,Hymenoptera,16/08/2005,1244,P128,Biesmeijer,Hypericum perforatum,1244,1244,1244,1200-1400
Apis ,Hypericum perforatum,Hymenoptera,16/08/2005,1244,P129,Biesmeijer,Hypericum perforatum,1244,1244,1244,1200-1400
 ,Hypericum perforatum,Diptera,16/08/2005,1244,P129,Biesmeijer,Hypericum perforatum,1244,1244,1244,1200-1400
Hylaeus ,Hypericum perforatum,Hymenoptera,16/08/2005,1244,P129,Biesmeijer,Hypericum perforatum,1244,1244,1244,1200-1400
Argynnis aglaja,Eupatorium cannabinum,Lepidoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Lycaena virgaureae,Eupatorium cannabinum,Lepidoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Polygonia C-album,Eupatorium cannabinum,Lepidoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
 ,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Sphaerophorium scripta,Eupatorium cannabinum,Diptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Lasioglossum ,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Lasioglossum ,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Cheilosia ,Eupatorium cannabinum,Diptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Bombus sp.,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Apis ,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
 ,Eupatorium cannabinum,Diptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Doros profuges,Eupatorium cannabinum,Diptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Bombus bohemicus,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Bombus bohemicus,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Bombus sylvestris,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Bombus quadricolor,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
Bombus terrestris complex,Eupatorium cannabinum,Hymenoptera,16/08/2005,1271,P124,Biesmeijer,Eupatorium cannabinum,1271,1271,1271,1200-1400
 ,Crepis mollis,Hymenoptera,16/08/2005,1285,P125,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Apis ,Crepis mollis,Hymenoptera,16/08/2005,1285,P125,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Panurgus ,Crepis mollis,Hymenoptera,16/08/2005,1285,P125,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Lasioglossum ,Crepis mollis,Hymenoptera,16/08/2005,1285,P126,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Halictus ,Crepis mollis,Hymenoptera,16/08/2005,1285,P126,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Lasioglossum ,Crepis mollis,Hymenoptera,16/08/2005,1285,P126,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Lasioglossum ,Crepis mollis,Hymenoptera,16/08/2005,1285,P126,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Halictus ,Crepis mollis,Hymenoptera,16/08/2005,1285,P126,Biesmeijer,Crepis sp.,1285,1285,1285,1200-1400
Hesperia comma,Crepis mollis,Lepidoptera,12/08/2005,1289,P062,Biesmeijer,Crepis sp.,1289,1289,1289,1200-1400
Hesperia comma,Crepis mollis,Lepidoptera,12/08/2005,1289,P063,Biesmeijer,Crepis sp.,1289,1289,1289,1200-1400
Thymelicus sylvestris,Crepis mollis,Lepidoptera,12/08/2005,1289,P062,Biesmeijer,Crepis sp.,1289,1289,1289,1200-1400
Osmia/Hoplitis ,Crepis mollis,Hymenoptera,12/08/2005,1289,P062,Biesmeijer,Crepis sp.,1289,1289,1289,1200-1400
Halictus ,Crepis mollis,Hymenoptera,12/08/2005,1289,P063,Biesmeijer,Crepis sp.,1289,1289,1289,1200-1400
Syrphus vitripennis,Crepis mollis,Diptera,12/08/2005,1289,P063,Biesmeijer,Crepis sp.,1289,1289,1289,1200-1400
Bombus mesomelas,Carduus medius,Hym.,6/08/1889,1300,Gedre,MacLeod,Carduus defloratus,1300,1300,1300,1200-1400
Bombus quadricolor,Carduus medius,Hym.,6/08/1889,1300,Gedre,MacLeod,Carduus defloratus,1300,1300,1300,1200-1400
Apis ,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Bombus humilis,Centaurea nigra,,21/08/2006,1363,P286,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Bombus ,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Bombus lapidarius,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Bombus lapidarius,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Bombus hortorum,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Bombus soroeensis,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Episyrphus ,Centaurea nigra,,21/08/2006,1363,P286,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
plathycherium sp,Centaurea nigra,,21/08/2006,1363,P286,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Sphaerophoria ,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Volucella type? ,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
 ,Centaurea nigra,,21/08/2006,1363,P288,Biesmeijer,Centaurea nigra,1363,1363,1363,1200-1400
Argynnis aglaja,scabiosa columbaria,Lepidoptera,16/08/2005,1363,P131,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Lycaena virgaureae,scabiosa columbaria,Lepidoptera,16/08/2005,1363,P123,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Lycaena virgaureae,scabiosa columbaria,Lepidoptera,16/08/2005,1363,P131,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Pyrgus alveus,scabiosa columbaria,Lepidoptera,16/08/2005,1363,P123,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Zygaena sp.,scabiosa columbaria,Lepidoptera,16/08/2005,1363,P123,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Eristalis jugorum,scabiosa columbaria,Diptera,16/08/2005,1363,P123,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Bombus bohemicus,scabiosa columbaria,Hymenoptera,16/08/2005,1363,P123,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
Bombus pascuorum,scabiosa columbaria,Hymenoptera,16/08/2005,1363,P123,Biesmeijer,Scabiosa columbaria,1363,1363,1363,1200-1400
